05/25/17 17:43:01,BotEvents.SYS_Setup,BotFunctions.LogEvents----------------------------
05/25/17 17:43:01,BotEvents.SYS_StartThread,Tweet loop
05/25/17 17:44:00,BotEvents.USR_LoadTweet,1 tweet starting at 1 (LOG_MESSAGE)
05/25/17 17:45:00,BotEvents.USR_LoadTweet,1 tweet starting at 2 (END)
05/25/17 17:45:00,BotEvents.SYS_Stop,"No tweets given (ran out, probably)"
05/25/17 17:45:00,BotEvents.SYS_Stop,Tweet loop ended.
05/25/17 17:57:11,BotEvents.SYS_Setup,BotFunctions(LogEvents|SaveTweetIndex)------------
05/25/17 17:57:11,BotEvents.SYS_StartThread,Tweet loop
05/25/17 17:58:23,BotEvents.SYS_Setup,BotFunctions(LogEvents|SaveTweetIndex)------------
05/25/17 17:58:23,BotEvents.SYS_StartThread,Tweet loop
05/25/17 17:59:16,BotEvents.SYS_Setup,BotFunctions(LogEvents|SaveTweetIndex)------------
05/25/17 17:59:16,BotEvents.SYS_StartThread,Tweet loop
05/25/17 18:00:00,BotEvents.USR_LoadTweet,1 tweet starting at 1 (LOG_MESSAGE)
05/25/17 18:01:00,BotEvents.USR_LoadTweet,1 tweet starting at 2 (END)
05/25/17 18:01:00,BotEvents.SYS_Stop,"No tweets given (ran out, probably)"
05/25/17 18:01:00,BotEvents.SYS_Stop,Tweet loop ended.
05/25/17 18:02:45,BotEvents.SYS_Setup,BotFunctions(LogEvents|SaveTweetIndex)------------
05/25/17 18:02:45,BotEvents.SYS_StartThread,Tweet loop
05/25/17 18:02:45,BotEvents.ERR_Logic,Couldn't get next_time.
05/25/17 18:02:45,BotEvents.SYS_Stop,Tweet loop ended.
05/25/17 18:15:21,BotEvents.SYS_Setup,BotFunctions(LogEvents|TweetOffline|SaveTweetIndex|TestOfflineFull)
05/25/17 18:15:21,BotEvents.SYS_StartThread,Tweet loop
05/25/17 18:15:23,BotEvents.USR_LoadTweet,1 tweet starting at 3 (THE THIRD)
